315,"defektes Fahrzeug, (L) stockender Verkehr"
316,"defektes Fahrzeug, Gefahr von stockendem Verkehr"
317,"defektes Fahrzeug, (L) dichter Verkehr"
318,"defektes Fahrzeug, dichter Verkehr zu erwarten"
319,"defektes Fahrzeug, (L) reger Verkehr"
320,"defektes Fahrzeug, reger Verkehr zu erwarten"
321,"defektes Fahrzeug, störungsfreier Verkehrsfluss"
322,"defektes Fahrzeug, (L) dichter Verkehr mit zunehmender Tendenz"
323,"Verkehrsbehinderung durch defektes Fahrzeug, Straße blockiert"
324,"Verkehrsbehinderung durch defektes Fahrzeug, rechter Fahrstreifen blockiert"
325,"Verkehrsbehinderung durch defektes Fahrzeug, mittlerer Fahrstreifen blockiert"
326,"Verkehrsbehinderung durch defektes Fahrzeug, linker Fahrstreifen blockiert"
327,"Verkehrsbehinderung durch defektes Fahrzeug, Standstreifen blockiert"
328,"Verkehrsbehinderung durch defektes Fahrzeug, zwei Fahrstreifen blockiert"
329,"Verkehrsbehinderung durch defektes Fahrzeug, drei Fahrstreifen blockiert"
330,"Verkehrsbehinderung durch defektes Fahrzeug, Zeitverlust"
331,"Verkehrsbehinderung durch defektes Fahrzeug, es ist mit Zeitverlust zu rechnen"
332,"Verkehrsbehinderung durch defektes Fahrzeug, großer Zeitverlust"
333,Unfallstelle geräumt
334,Meldung aufgehoben
335,Unfall mit Bus
336,"Unfall, Gefahr durch auslaufendes Öl"
337,Verkehrsbehinderung durch umgestürztes Fahrzeug
338,Verkehrsbehinderung durch umgestürzten LKW
339,Verkehrsbehinderung durch querstehenden Anhänger
340,Verkehrsbehinderung durch querstehenden Wohnwagen
341,Verkehrsbehinderung durch querstehenden LKW
342,Fahrzeug verunglückt
343,vorausgegangener Unfall
344,Verkehrsbehinderung durch Unfallaufnahme
345,Folgeunfall
346,Verkehrsbehinderung durch defekten Bus
347,Fahrzeug mit Überhöhe
348,"Unfall, 3 km Stau"
349,"Unfall, 3 km stockender Verkehr"
350,"Unfall, 3 km dichter Verkehr"
351,Unfall im Baustellenbereich
352,"Verkehrsbehinderung durch Neugierige an einer Unfallstelle, 3 km Stau"
353,"Verkehrsbehinderung durch Neugierige an einer Unfallstelle, 3 km stockender Verkehr"
354,"Verkehrsbehinderung durch Neugierige an einer Unfallstelle, 3 km dichter Verkehr"
355,"Verkehrsbehinderung durch Neugierige an einer Unfallstelle, Gefahr"
356,"verlorene Ladung, 3 km Stau"
357,"verlorene Ladung, 3 km stockender Verkehr"
358,"verlorene Ladung, 3 km dichter Verkehr"
359,Gefahr durch verlorene Ladung
360,"umgestürztes Fahrzeug, (L) Stau"
361,"umgestürztes Fahrzeug, Staugefahr"
362,"umgestürztes Fahrzeug, (L) stockender Verkehr"
363,"umgestürztes Fahrzeug, Gefahr von stockendem Verkehr"
364,"umgestürztes Fahrzeug, (L) dichter Verkehr"
365,"umgestürztes Fahrzeug, dichter Verkehr zu erwarten"
366,"umgestürztes Fahrzeug, (L) reger Verkehr"
367,"umgestürztes Fahrzeug, reger Verkehr zu erwarten"
368,"umgestürztes Fahrzeug, (L) dichter Verkehr mit zunehmender Tendenz"
369,durch umgestürztes Fahrzeug blockiert
370,"umgestürztes Fahrzeug, rechter Fahrstreifen blockiert"
371,"umgestürztes Fahrzeug, mittlerer Fahrstreifen blockiert"
372,"umgestürztes Fahrzeug, linker Fahrstreifen blockiert"
373,"umgestürztes Fahrzeug, zwei Fahrstreifen blockiert"
374,"umgestürztes Fahrzeug, drei Fahrstreifen blockiert"
375,"umgestürztes Fahrzeug, Zeitverlust"
376,"umgestürztes Fahrzeug, es ist mit Zeitverlust zu rechnen"
377,"umgestürztes Fahrzeug, großer Zeitverlust"
378,Gefahr durch umgestürztes Fahrzeug
379,(L) Stau nach vorausgegangenem Unfall
380,Staugefahr nach vorausgegangenem Unfall
381,(L) stockender Verkehr nach vorausgegangenem Unfall
382,Gefahr von stockendem Verkehr nach vorausgegangenem Unfall
383,(L) dichter Verkehr nach vorausgegangenem Unfall
385,(L) reger Verkehr nach vorausgegangenem Unfall
387,(L) dichter Verkehr mit zunehmender Tendenz nach vorausgegangenem Unfall
388,"vorausgegangener Unfall, Zeitverlust"
390,"vorausgegangener Unfall, großer Zeitverlust"
391,"Unfallaufnahme, Gefahr"
392,"Folgeunfall, Gefahr"
393,Gefahr durch defektes Fahrzeug
394,Gefahr durch defekten LKW
395,Straße geräumt
396,die gemeldete Störung besteht nicht mehr
397,Verkehrsbehinderung durch Bergungsarbeiten
399,Meldung aufgehoben
401,gesperrt
402,blockiert
403,gesperrt für Schwerverkehr
404,Durchfahrt gesperrt für LKW
405,gesperrt für Durchgangsverkehr
406,Einfahrt gesperrt
407,Ausfahrt gesperrt
408,Anschlussstelle gesperrt
409,Beschränkung der Anschlussstelle
